cartodb_id,the_geom,year,value,domain,data_item,county,state
271,,2002,"71,673",TOTAL,FARM OPERATIONS - ACRES OPERATED,CLINTON,KENTUCKY
272,,2002,"89,389",TOTAL,FARM OPERATIONS - ACRES OPERATED,CUMBERLAND,KENTUCKY
273,,2002,"93,661",TOTAL,FARM OPERATIONS - ACRES OPERATED,EDMONSON,KENTUCKY
274,,2002,"233,136",TOTAL,FARM OPERATIONS - ACRES OPERATED,GRAYSON,KENTUCKY
276,,2002,"239,740",TOTAL,FARM OPERATIONS - ACRES OPERATED,HARDIN,KENTUCKY
277,,2002,"194,676",TOTAL,FARM OPERATIONS - ACRES OPERATED,HART,KENTUCKY
278,,2002,"41,061",TOTAL,FARM OPERATIONS - ACRES OPERATED,JEFFERSON,KENTUCKY
279,,2002,"134,410",TOTAL,FARM OPERATIONS - ACRES OPERATED,LARUE,KENTUCKY
280,,2002,"171,252",TOTAL,FARM OPERATIONS - ACRES OPERATED,MARION,KENTUCKY
281,,2002,"134,771",TOTAL,FARM OPERATIONS - ACRES OPERATED,MEADE,KENTUCKY
282,,2002,"131,990",TOTAL,FARM OPERATIONS - ACRES OPERATED,METCALFE,KENTUCKY
283,,2002,"162,481",TOTAL,FARM OPERATIONS - ACRES OPERATED,MONROE,KENTUCKY
284,,2002,"189,104",TOTAL,FARM OPERATIONS - ACRES OPERATED,NELSON,KENTUCKY
285,,2002,"97,195",TOTAL,FARM OPERATIONS - ACRES OPERATED,RUSSELL,KENTUCKY
286,,2002,"112,317",TOTAL,FARM OPERATIONS - ACRES OPERATED,TAYLOR,KENTUCKY
287,,2002,"255,154",TOTAL,FARM OPERATIONS - ACRES OPERATED,WARREN,KENTUCKY
288,,2002,"6,900",TOTAL,FARM OPERATIONS - ACRES OPERATED,BELL,KENTUCKY
289,,2002,"33,512",TOTAL,FARM OPERATIONS - ACRES OPERATED,BOYD,KENTUCKY
290,,2002,"51,179",TOTAL,FARM OPERATIONS - ACRES OPERATED,BREATHITT,KENTUCKY
397,,1997,"188,523",TOTAL,FARM OPERATIONS - ACRES OPERATED,HART,KENTUCKY
291,,2002,"120,382",TOTAL,FARM OPERATIONS - ACRES OPERATED,CARTER,KENTUCKY
292,,2002,"55,240",TOTAL,FARM OPERATIONS - ACRES OPERATED,CLAY,KENTUCKY
381,,1997,"84,441",TOTAL,FARM OPERATIONS - ACRES OPERATED,SPENCER,KENTUCKY
300,,2002,"4,485",TOTAL,FARM OPERATIONS - ACRES OPERATED,KNOTT,KENTUCKY
301,,2002,"41,464",TOTAL,FARM OPERATIONS - ACRES OPERATED,KNOX,KENTUCKY
302,,2002,"107,582",TOTAL,FARM OPERATIONS - ACRES OPERATED,LAUREL,KENTUCKY
303,,2002,"57,021",TOTAL,FARM OPERATIONS - ACRES OPERATED,LAWRENCE,KENTUCKY
304,,2002,"23,450",TOTAL,FARM OPERATIONS - ACRES OPERATED,LEE,KENTUCKY
305,,2002,"3,479",TOTAL,FARM OPERATIONS - ACRES OPERATED,LESLIE,KENTUCKY
